,team_idx,team
1620,227,Os Artroses
1631,228,Manviarunners
1636,229,C.S.D.C. Brº. Das Campinas
1646,230,Benfica!!!!!!!!
1656,231,Winprovit
1665,232,Adres
1667,233,Rainha Do Desporto
1676,234,Salvador Caetano
1678,235,Os Incansaveis
1686,236,Cool Running
1691,237,Enerunners
1697,238,Viametro
1702,239,A A Gondomar
1737,240,Life Club
1738,241,Adidas Trailblazers
1741,242,Grupo  Desportivo   De  Prado
1750,243,Juventude Vidigalense
1815,244,Run Division
1836,245,Kangaroo
1843,246,Zenbio
1877,247,Sem Equipa
1900,248,Az76
1915,249,Zon Caboviana
1968,250,Cpc.Is
1988,251,Diariodoatleta.Com.Br
1990,252,Adecco Recursos Humanos
2019,253,Europacolon Portugal
2033,254,Edp Otilia E Amigos
2039,255,Hpp - Boavista
2049,256,Athlon Runners
2064,257,Rocky Team
2084,258,Gdine - Grupo Desportivo Ine
2094,259,Amarense
2159,260,Yes We Kenya
2164,261,Grupo Desportivo Vale Do Ave (Gdva)
2172,262,Os Arbitros Tambem Acertam
2204,263,Asics - Portugal
2214,264,Pepsico
2229,265,Rasga Asfalto
2234,266,Brothers For Life
2240,267,Os Antigos
2265,268,Health Club Solmaia
2278,269,Pingolete
2291,270,Team Do Consul
2294,271,Pe De Chumbo
2347,272,Mousse De Chocolate
2352,273,Os Flecha
2355,274,Familia Jesus
2368,275,Ala Num Alves De Gondomar
2392,276,"""Cac"""
2408,277,Flc
2419,278,Não Tem
2438,279,Os Prazeres
2449,280,Nucleo Desportivo Da Silva
2450,281,Veteranos Do Parque Da Cidade
2458,282,Jocateam
2473,283,Run For Life
2484,284,Sport Zone Passatempo
2486,285,Hand@Runners
2495,286,Veteranos De Canidelo
2497,287,Parental
2498,288,Os Bes
2500,289,Sawasdee Krup
2553,290,Vilar Runners
2574,291,Armenio Losa
2591,292,Pit Power
2596,293,Primos De Cortegaca
2611,294,Farrapice
2648,295,Triatlo Aasm
2698,296,Bolinhas E Bolachinhas
2728,297,Geraçao A Rasca
2734,298,Cafe Cantinho
2748,299,Com Amigos!
2750,300,Pé De Chumbo
2757,301,Os Amigos Do Parque Da Cidade
2778,302,Sem-Espinhas
2790,303,Studio Do Corpo
2791,304,Mlsf Team
2823,305,Guedelhudos
2869,306,Vvtemdeser
2879,307,Vamo Q Vamo
3009,308,O Jogo
3037,309,Aae Bnu P. Barca
3042,310,Lfmlf
3053,311,Team Aterro
3072,312,Ccd Tranquilidade
3079,313,Yuppirun
3114,314,Liberty Seguros - Norsecur
3141,315,Edp Jose Domingos Sousa
3164,316,Cnidh
3190,317,Familia A Correr
3239,318,Banco Carregosa
3245,319,Akporto
3261,320,Running Sucks
3273,321,Curvas E Contracurvas
3297,322,Karate Running
3324,323,Iperforma Runners
3353,324,Pt Running Team
3364,325,Cães Da Avenida
3382,326,Trenga
3464,327,S.Caetano
3501,328,C U A Benaventense
3505,329,Senhora Desterro
3506,330,E A Rosa Oliveira
3507,331,Desp Povoa
3508,332,Ginasio Vilacondense
3511,333,Associaçao Lince Triathlon
3514,334,G D F Campanha
3515,335,Os Rompe Solas - Vila Do Conde
3520,336,Cds Salvador Campo
3521,337,Cdc Vn Gaia
3530,338,Hpp
3533,339,C I A Alpendorada
3534,340,Comandos 87
3535,341,U.F.T. Entre-Os-Rios
3541,342,A.D. Rio Largo C.E.
3542,343,A.C.D. São João Da Serra
3543,344,Leone Runners
3544,345,Amigos Pagode
3547,346,C A Lamas
3548,347,Aasm Triatlo
3553,348,C.D.S.Salvador Do Campo
3556,349,Carcavelos
3563,350,C. F. Oliveira Douro
3570,351,Millennium Bcp
3585,352,É De Shot International
3587,353,A. R. Negrelos
3590,354,S. C. Salgueiros
3592,355,Desnível Positivosportzone
3593,356,Edp Distribuiçao
3594,357,Falta D`Ar
3597,358,Clube Galp Energia Norte
3600,359,Dow Running Team
3608,360,Clube Pessoal Edp - Fafe
3622,361,Grupo Desportivo Cultural Codal
3624,362,Wellness Runners
3627,363,Da-Lhe Gas
3628,364,Papa Leguas Famalicao
3639,365,Amigos Do Trail - Chill Out
3642,366,Os Kágados
3648,367,Kilosmoda
3652,368,Asphalt Assault Team
3658,369,Os Incansáveis
3659,370,Grupo Desportivo De Prado
3660,371,Grupo Desportivo Santander Totta
3663,372,Pé Redondo
3666,373,Moutados Team
3667,374,Tabacos Cardoso
3670,375,Vitoria Sport Clube
3675,376,Unicer Vitalis
3677,377,Gbes
3679,378,Ávila Kbt Runners
3680,379,L F C
3682,380,Scsalgueiros
3683,381,Escola Movimento
3691,382,The Lencastres
3694,383,Rádios Ao Vento
3705,384,Atletas.Net
3714,385,Café Ponto Finalconfecções Paulo Nogueira
3715,386,Clube Pessoal Edp - Porto
3723,387,Inforferreira
3724,388,Associação Cultural De Vermoim
3729,389,A R Luz E Vida Gondomarense
